Fe,Ni,Cr,Temperature,Time,Mass Change
74,10,16,800,19.7215,-12.6919
74,10,16,800,39.74,-22.3447
74,10,16,800,59.9606,-17.9342
74,10,16,800,80.1386,-8.57591
74,10,16,800,99.9536,5.38178
69,15,16,800,19.6878,-8.78581
69,15,16,800,40.0311,-6.111
69,15,16,800,60.1028,3.07327
69,15,16,800,79.7255,14.3393
69,15,16,800,99.8773,26.7357
64,20,16,800,20.2154,-7.48189
64,20,16,800,40.0461,-7.84706
64,20,16,800,60.1417,-1.44048
64,20,16,800,79.8954,7.13505
64,20,16,800,100.076,16.2329
59,25,16,800,19.8734,-5.31294
59,25,16,800,40.073,-10.972
59,25,16,800,59.8858,-9.25387
59,25,16,800,79.6904,-6.58094
59,25,16,800,99.8129,-3.29926
54,30,16,800,19.3997,-0.366668
54,30,16,800,39.7505,1.44011
54,30,16,800,59.8836,3.50654
54,30,16,800,80.0159,5.65978
54,30,16,800,99.8182,8.59312
72,10,18,800,19.7694,-9.35065
72,10,18,800,39.7469,-9.43723
72,10,18,800,59.9268,-0.779221
72,10,18,800,80.2689,12.9004
72,10,18,800,100.188,27.4459
67,15,18,800,19.5703,-7.79221
67,15,18,800,39.7927,-5.19481
67,15,18,800,60.0843,3.80952
67,15,18,800,80.2783,13.7662
67,15,18,800,100.384,25.5411
62,20,18,800,19.9494,-2.68398
62,20,18,800,39.7394,-10.1299
62,20,18,800,59.8744,-5.62771
62,20,18,800,79.9323,1.7316
62,20,18,800,99.8897,9.78355
57,25,18,800,19.7577,-0.4329
57,25,18,800,40.0676,0.25974
57,25,18,800,60.1736,2.07792
57,25,18,800,80.1763,4.329
57,25,18,800,100.176,6.32035
52,30,18,800,19.7886,2.42424
52,30,18,800,39.7764,3.29004
52,30,18,800,59.9754,3.72294
52,30,18,800,79.7434,4.24242
52,30,18,800,99.9378,4.24242
70,10,20,800,19.8031,-5.99965
70,10,20,800,40.0438,-12.0001
70,10,20,800,60.1751,-15.4564
70,10,20,800,80.3063,-11.4567
70,10,20,800,100.109,-5.78967
65,15,20,800,19.8031,-0.122462
65,15,20,800,39.8249,-8.75408
65,15,20,800,60.0656,-8.08783
65,15,20,800,80.5252,0.472763
65,15,20,800,100.547,10.7885
60,20,20,800,20.1313,-0.123037
60,20,20,800,39.9344,-1.47357
60,20,20,800,60.2845,-3.0005
60,20,20,800,80.0875,-6.80717
60,20,20,800,100.547,-6.66763
55,25,20,800,19.6937,0.754923
55,25,20,800,40.0438,1.68413
55,25,20,800,60.0656,2.87708
55,25,20,800,79.9781,3.19302
55,25,20,800,100.547,2.9815
50,30,20,800,20.4595,1.71849
50,30,20,800,40.2626,2.29778
50,30,20,800,60.2845,2.4381
50,30,20,800,80.3063,2.31525
50,30,20,800,100.438,2.63081
74,10,16,650,20.0552,0.531143
74,10,16,650,40.0448,-0.719168
74,10,16,650,60.0428,-2.24989
74,10,16,650,80.2511,-2.90635
74,10,16,650,99.8649,-3.4227
69,15,16,650,19.7385,0.0247934
69,15,16,650,39.7134,0.0495868
69,15,16,650,59.6824,0.173554
69,15,16,650,80.2586,0.0247934
69,15,16,650,99.704,-0.991736
64,20,16,650,19.5021,0.0247934
64,20,16,650,39.3602,0.0247934
64,20,16,650,59.8089,0.0330579
64,20,16,650,80.1418,0
64,20,16,650,99.747,0.280992
59,25,16,650,19.8567,0.0247934
59,25,16,650,39.5962,0.0330579
59,25,16,650,59.8109,0
59,25,16,650,80.1404,0.0247934
59,25,16,650,100.235,0.0165289
54,30,16,650,20.2089,0.0661157
54,30,16,650,39.9488,0.0661157
54,30,16,650,59.6893,0.0578512
54,30,16,650,79.9045,0.0165289
54,30,16,650,99.5243,0.0495868
72,10,18,650,0.00143683,0.0494843
72,10,18,650,19.9776,0.0296944
72,10,18,650,39.6073,0.0759411
72,10,18,650,59.9197,-0.364523
72,10,18,650,79.645,-1.02757
72,10,18,650,99.351,-2.35041
67,15,18,650,19.7453,0.0297327
67,15,18,650,39.7237,0.0841693
67,15,18,650,59.6989,0.0313899
67,15,18,650,79.9084,0.0445512
67,15,18,650,99.8927,0.305172
62,20,18,650,20.094,0
62,20,18,650,39.6068,0
62,20,18,650,59.9322,0
62,20,18,650,80.1395,0
62,20,18,650,100.233,0
57,25,18,650,20.094,0
57,25,18,650,39.6068,0
57,25,18,650,59.9322,0
57,25,18,650,80.1395,0
57,25,18,650,100.233,0
52,30,18,650,20.094,0
52,30,18,650,39.6068,0
52,30,18,650,59.9322,0
52,30,18,650,80.1395,0
52,30,18,650,100.233,0
70,10,20,650,19.8218,0.0212372
70,10,20,650,39.9777,0.0499674
70,10,20,650,60.1336,0.0190884
70,10,20,650,80.1782,-0.0231916
70,10,20,650,100.223,-0.0143315
65,15,20,650,20.0445,0.0157005
65,15,20,650,40.0891,-0.0109443
65,15,20,650,60.245,-0.0695106
65,15,20,650,79.7327,-0.0684699
65,15,20,650,100.111,-0.0762211
60,20,20,650,20.0445,0.00234542
60,20,20,650,40.2004,0.00306254
60,20,20,650,60.245,-0.0134845
60,20,20,650,79.8441,-0.0316617
